LSBUILDCULTURE,Culture,LCID
cs-CZ,cs,1029
de-DE,de,1031
es-ES,es,1034
fr-FR,fr,1036
it-IT,it,1040
ja-JP,ja,1041
ko-KR,ko,1042
pl-PL,pl,1045
pt-BR,pt,1046
ru-RU,ru,1049
tr-TR,tr,1055
zh-CN,zh,2052
zh-TW,zh,1028
